,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
357,Pennsylvania,PA,1203026,11.7,0,All Races,2009,42,0
361,Rhode Island,RI,116176,13.3,0,All Races,2009,44,0
365,South Carolina,SC,737955,19.4,0,All Races,2009,45,0
369,South Dakota,SD,99891,14.8,0,All Races,2009,46,0
373,Tennessee,TN,867718,16.3,0,All Races,2009,47,0
377,Texas,TX,5710171,26.3,0,All Races,2009,48,0
381,Utah,UT,397794,15.9,0,All Races,2009,49,0
385,Vermont,VT,53420,10.4,0,All Races,2009,50,0
389,Virginia,VA,908234,13.6,0,All Races,2009,51,0
393,Washington,WA,865282,15.0,0,All Races,2009,53,0
397,West Virginia,WV,250222,16.8,0,All Races,2009,54,0
401,Wisconsin,WI,506363,10.6,0,All Races,2009,55,0
405,Wyoming,WY,80707,17.3,0,All Races,2009,56,0
409,Alabama,AL,681437,16.9,0,All Races,2010,01,0
413,Alaska,AK,138777,21.4,0,All Races,2010,02,0
417,Arizona,AZ,1042809,19.3,0,All Races,2010,04,0
421,Arkansas,AR,500134,20.6,0,All Races,2010,05,0
425,California,CA,6720279,20.7,0,All Races,2010,06,0
429,Colorado,CO,777411,17.7,0,All Races,2010,08,0
433,Connecticut,CT,309864,10.4,0,All Races,2010,09,0
437,Delaware,DE,86894,11.6,0,All Races,2010,10,0
441,District of Columbia,DC,45483,9.0,0,All Races,2010,11,0
445,Florida,FL,3853392,25.3,0,All Races,2010,12,0
449,Georgia,GA,1848505,21.9,0,All Races,2010,13,0
453,Hawaii,HI,102658,8.9,0,All Races,2010,15,0
457,Idaho,ID,273440,20.3,0,All Races,2010,16,0
461,Illinois,IL,1717178,15.6,0,All Races,2010,17,0
465,Indiana,IN,929589,17.0,0,All Races,2010,18,0
469,Iowa,IA,270219,10.7,0,All Races,2010,19,0
473,Kansas,KS,380567,15.8,0,All Races,2010,20,0
477,Kentucky,KY,640974,17.5,0,All Races,2010,21,0
481,Louisiana,LA,793782,20.5,0,All Races,2010,22,0
485,Maine,ME,132154,12.2,0,All Races,2010,23,0
489,Maryland,MD,630139,12.7,0,All Races,2010,24,0
493,Massachusetts,MA,281724,5.2,0,All Races,2010,25,2
497,Michigan,MI,1193021,14.3,0,All Races,2010,26,0
501,Minnesota,MN,468857,10.3,0,All Races,2010,27,0
505,Mississippi,MS,525570,21.0,0,All Races,2010,28,0
509,Missouri,MO,766031,15.3,0,All Races,2010,29,0
513,Montana,MT,170509,20.7,0,All Races,2010,30,0
517,Nebraska,NE,206100,13.4,0,All Races,2010,31,0
521,Nevada,NV,589059,25.1,0,All Races,2010,32,0
525,New Hampshire,NH,143475,13.0,0,All Races,2010,33,0
529,New Jersey,NJ,1124840,15.0,0,All Races,2010,34,0
533,New Mexico,NM,397890,22.6,0,All Races,2010,35,1
537,New York,NY,2245437,13.7,0,All Races,2010,36,0
541,North Carolina,NC,1549918,19.1,0,All Races,2010,37,0
545,North Dakota,ND,63683,11.4,0,All Races,2010,38,0
549,Ohio,OH,1384046,14.3,0,All Races,2010,39,0
553,Oklahoma,OK,691408,21.9,0,All Races,2010,40,0
557,Oregon,OR,639710,19.7,0,All Races,2010,41,0
561,Pennsylvania,PA,1254674,12.1,0,All Races,2010,42,0
565,Rhode Island,RI,120001,13.8,0,All Races,2010,44,0
569,South Carolina,SC,785961,20.3,0,All Races,2010,45,0
573,South Dakota,SD,94404,13.9,0,All Races,2010,46,0
577,Tennessee,TN,888747,16.6,0,All Races,2010,47,0
581,Texas,TX,5820793,26.3,0,All Races,2010,48,0
585,Utah,UT,414476,16.7,0,All Races,2010,49,0
589,Vermont,VT,49750,9.7,0,All Races,2010,50,0
593,Virginia,VA,1009466,14.8,0,All Races,2010,51,0
597,Washington,WA,936767,16.1,0,All Races,2010,53,0
601,West Virginia,WV,262794,17.4,0,All Races,2010,54,0
605,Wisconsin,WI,518246,10.8,0,All Races,2010,55,0
609,Wyoming,WY,83761,17.3,0,All Races,2010,56,0
613,Alabama,AL,669410,16.6,0,All Races,2011,01,0
617,Alaska,AK,141836,21.7,0,All Races,2011,02,0
621,Arizona,AZ,1064887,19.6,0,All Races,2011,04,0
625,Arkansas,AR,490103,20.1,0,All Races,2011,05,0
629,California,CA,6603169,20.2,0,All Races,2011,06,0
633,Colorado,CO,753842,17.0,0,All Races,2011,08,0
637,Connecticut,CT,299599,10.1,0,All Races,2011,09,0
641,Delaware,DE,84181,11.2,0,All Races,2011,10,0
645,District of Columbia,DC,42737,8.3,0,All Races,2011,11,0
649,Florida,FL,3804839,24.8,0,All Races,2011,12,0
653,Georgia,GA,1846990,21.7,0,All Races,2011,13,0
